Symbol,Fundamental,Technical,Sentimental,Rating
CRWD,2,89,80,38
CSCO,64,69,2,56
CSGP,1,14,39,1
CSX,50,65,92,74
CTRA,90,10,90,81
CTSH,93,29,39,74
CTVA,96,11,39,65
CVS,61,78,82,88
CVX,93,61,2,79
D,21,43,75,29
DAL,99,40,76,94
DASH,5,94,56,35
DAY,2,62,65,18
DD,10,67,65,28
DDOG,1,86,14,11
DE,65,34,64,59
DECK,30,9,78,20
DELL,71,80,85,94
DG,92,24,61,79
DGX,62,67,86,85
DHI,89,55,7,72
DHR,26,57,39,28
DIS,97,23,15,64
DLR,76,61,81,91
DLTR,16,26,70,12
DOC,26,32,63,24
DOV,44,10,20,10
DOW,40,1,12,4
DPZ,66,20,58,51
DRI,40,29,63,34
DTE,14,66,7,10
DUK,18,57,85,37
DVA,57,15,39,33
DVN,98,29,39,80
DXCM,53,5,99,46
EA,5,93,2,14
EBAY,23,67,1,16
ECL,28,65,39,34
ED,20,33,76,24
EFX,38,24,39,21
EG,91,75,98,99
EIX,24,10,10,2
EL,45,56,60,52
ELV,77,77,18,78
EME,41,94,39,61
EMN,60,5,39,30
EMR,24,62,18,22
EOG,98,13,93,90
EPAM,29,17,39,8
EQIX,17,71,81,43
EQR,65,8,39,37
EQT,52,49,95,66
ERIE,73,31,39,57
ES,18,76,79,46
ESS,45,38,39,35
ETN,67,85,94,95
ETR,10,81,3,13
EVRG,9,76,39,24
EW,18,19,86,17
EXC,9,49,39,8
EXE,99,64,13,89
EXPD,37,28,39,23
EXPE,16,88,22,29
EXR,44,32,39,30
F,80,50,58,82
FANG,75,45,66,76
FAST,68,42,66,66
FCX,84,19,73,72
FDX,67,72,39,73
FE,11,75,82,39
FFIV,30,97,39,54
FI,74,16,97,69
FICO,54,86,39,68
FIS,12,21,78,9
FITB,95,25,39,73
FOX,85,40,16,64
FOXA,83,56,74,91
FRT,73,33,39,58
FSLR,79,95,82,98
FTNT,34,50,93,51
FTV,38,9,39,12
GD,82,97,39,95
GDDY,27,27,39,11
GE,25,95,82,63
GEHC,43,25,39,27
GEN,32,7,79,21
GEV,2,86,100,44
GILD,85,65,39,87
GIS,77,6,98,66
GL,61,64,69,75
GLW,12,91,16,27
GM,69,50,69,75
GNRC,7,64,39,14
GOOG,87,100,61,98
GOOGL,86,99,72,99
GPC,55,51,18,43
GPN,41,52,39,39
GRMN,27,92,77,60
GS,87,98,96,100
GWW,69,43,39,59
HAL,92,28,8,60
HAS,7,34,73,10
HBAN,79,17,39,55
HCA,93,90,100,100
HD,77,38,5,52
HIG,85,56,39,83
HII,82,93,9,88
HLT,72,46,39,63
HOLX,80,58,39,79
HON,80,23,5,47
HOOD,59,95,70,91
HPE,26,81,18,33
HPQ,82,18,17,49
HRL,59,5,39,29
HSIC,22,7,39,3
HST,93,14,84,84
HSY,3,86,11,12
HUBB,81,45,39,71
HUM,66,87,74,92
HWM,39,77,39,50
IBKR,27,73,68,48
IBM,40,94,64,69
ICE,43,13,21,12
IDXX,44,84,39,58
IEX,62,27,39,44
IFF,96,6,8,53
INCY,61,78,39,71
INTC,3,87,22,17
INTU,5,46,84,19
INVH,36,2,39,7
IP,72,15,78,60
IPG,65,51,39,59
IQV,15,84,88,50
IR,4,17,64,3
IRM,4,71,39,15
ISRG,36,50,92,53
IT,78,47,67,82
ITW,81,31,39,63
IVZ,90,80,39,95
J,13,85,71,43
JBHT,26,36,39,16
JCI,72,45,39,62
JKHY,69,22,39,48
JNJ,98,97,19,97
JPM,85,92,6,89
K,33,71,69,53
KDP,72,4,39,40
KEY,83,31,62,75
KEYS,8,69,62,27
KHC,46,4,2,5
KIM,47,5,57,27
KKR,6,12,98,7
KLAC,48,99,39,70
KMB,35,9,39,9
KMI,75,29,4,45
KMX,46,3,3,5
KO,92,7,23,55
KR,51,28,75,48
KVUE,56,2,13,15
L,42,81,72,66
LDOS,66,93,39,86
LH,54,84,92,88
LHX,37,96,100,83
LII,75,35,39,60
LIN,84,39,39,70
LKQ,87,6,99,78
LLY,79,94,87,98
LMT,12,93,96,56
LNT,14,65,39,22
LOW,100,43,66,94
LRCX,62,96,15,73
LULU,68,25,80,63
LUV,59,24,8,29
LVS,57,58,39,57
LW,18,73,67,39
LYB,18,2,57,3
LYV,3,42,76,11
MA,71,43,96,84
MAA,43,15,39,20
MAR,89,53,67,92
MAS,100,24,74,91
MCD,86,30,69,80
MCHP,23,22,39,6
MCK,25,85,39,42
MCO,65,55,89,83
MDLZ,17,14,3,1
MDT,46,71,7,42
MET,32,43,22,20
META,76,68,75,91
MGM,23,1,86,10
MHK,70,41,39,59
MKC,31,12,39,8
MLM,25,92,12,36
MMC,94,56,39,90
MMM,19,44,83,30
MNST,55,70,88,81
MO,99,66,85,99
MOH,31,57,80,48
MOS,86,26,94,87
MPC,84,92,93,100
MPWR,15,99,39,40
MRK,99,46,59,93
MRNA,3,11,11,1
MS,81,89,16,88
MSCI,71,44,71,74
MSFT,77,96,19,89
MSI,23,69,78,46
MTB,88,36,39,73
MTCH,87,13,39,59
MTD,58,78,71,82
NCLH,6,37,58,6
NDAQ,23,49,39,21
NDSN,37,82,39,52
NEE,35,79,95,67
NEM,95,89,70,100
NFLX,61,66,84,83
NI,24,53,96,45
NKE,13,18,79,9
NOC,73,100,99,99
NOW,14,39,65,16
NRG,1,69,58,19
NSC,67,96,39,87
NTAP,38,74,39,48
NTRS,94,75,87,99
NUE,84,39,59,80
NVDA,51,91,61,78
NVR,54,55,11,42
NWS,59,8,4,19
NWSA,63,7,39,34
NXPI,34,47,39,30
O,21,32,56,15
ODFL,68,12,39,41
OKE,90,14,75,76
OMC,48,42,100,61
ON,20,13,68,9
ORCL,4,98,79,45
ORLY,68,51,68,74
OTIS,52,41,6,31
OXY,45,11,65,29
PANW,22,87,83,57
PAYC,44,20,39,25
PAYX,60,16,39,36
PCAR,81,12,39,54
PCG,21,35,10,4
PEG,28,33,12,7
PEP,29,52,72,40
PFE,35,40,56,33
PFG,73,44,39,63
PG,74,18,75,62
PGR,78,36,1,49
PH,89,77,67,97
PHM,96,49,67,94
PKG,63,70,39,67
PLD,33,61,59,44
PLTR,30,87,21,41
PM,91,33,62,85
PNC,82,52,39,77
PNR,62,60,39,61
PNW,15,47,39,11
PODD,2,63,39,9
POOL,88,32,57,78
PPG,66,6,39,36
PPL,7,47,17,3
PRU,64,17,39,40
PSA,49,58,6,38
PSKY,10,80,10,15
PSX,70,59,39,68
PTC,11,62,39,17
PWR,6,90,17,20
PYPL,90,52,57,91
QCOM,84,77,22,86
RCL,42,57,85,59
REG,52,22,11,23
REGN,97,65,2,85
RF,86,45,87,92
RJF,34,59,39,36
RL,50,87,83,84
RMD,58,81,39,69
ROK,48,66,39,53
ROL,41,21,39,23
ROP,32,51,94,50
ROST,75,68,87,93
RSG,47,37,39,35
RTX,8,83,85,42
RVTY,16,33,39,6
SBAC,49,25,39,31
SBUX,54,4,57,31
SCHW,56,50,21,45
SHW,50,20,3,16
SJM,7,22,39,2
SLB,91,2,8,46
SMCI,12,76,77,39
SNA,92,73,39,93
SNPS,3,59,6,3
SO,8,63,73,28
SOLV,11,15,68,4
SPG,67,79,7,65
SPGI,79,38,39,65
SRE,31,84,39,48
STE,44,48,4,28
STLD,81,68,69,93
STT,76,83,39,88
STX,55,98,39,77
STZ,47,18,15,17
SW,9,10,14,1
SWK,36,21,39,18
SWKS,57,34,39,43
SYF,83,55,39,80
SYK,43,38,39,33
SYY,65,54,39,61
T,75,14,56,55
TAP,100,8,62,77
TDG,39,53,39,38
TDY,19,88,82,55
TECH,6,61,64,21
TEL,86,97,39,96
TER,29,93,3,37
TFC,57,20,39,35
TGT,95,11,12,56
TJX,56,80,94,89
TKO,59,74,100,90
TMO,46,88,81,80
TMUS,74,31,60,64
TPL,56,60,90,76
TPR,10,89,39,31
TRGP,29,28,39,14
TRMB,14,41,39,8
TROW,96,45,80,95
TRV,64,70,39,68
TSCO,97,16,39,69
TSLA,5,99,19,26
TSN,31,9,89,26
TT,64,63,15,57
TTD,8,27,90,13
TTWO,5,90,70,38
TXN,51,30,99,58
TXT,88,69,74,96
TYL,27,37,39,18
UAL,75,64,17,67
UBER,35,60,74,50
UDR,20,4,39,2
UHS,88,85,66,97
ULTA,54,91,63,83
UNH,42,89,16,52
UNP,90,72,5,84
UPS,48,13,73,36
URI,34,99,6,47
USB,94,40,20,74
V,71,70,23,69
VICI,94,8,91,84
VLO,75,88,7,79
VLTO,45,30,39,30
VMC,57,85,39,71
VRSK,41,25,39,25
VRSN,87,37,39,72
VRTX,47,67,90,70
VST,2,74,61,24
VTR,11,38,39,5
VTRS,36,44,8,19
VZ,97,1,13,53
WAB,53,54,39,51
WAT,30,71,79,54
WBD,52,83,14,57
WDAY,13,59,86,34
WDC,11,94,9,25
WEC,15,70,87,43
WELL,9,75,78,37
WFC,67,48,72,72
WM,37,37,14,18
WMB,16,63,93,42
WMT,68,57,95,87
WRB,69,62,39,68
WSM,58,56,39,57
WST,32,88,39,50
WTW,17,81,39,32
WY,38,3,20,5
WYNN,13,79,95,49
XEL,9,82,88,44
XOM,98,54,86,97
XYL,47,86,39,62
XYZ,55,73,94,85
YUM,72,31,19,49
ZBH,43,36,39,32
ZBRA,17,29,39,6
ZTS,76,16,39,51
